"search","stocking.location","city","total","stocking date num","stocking date","orig","orig_lat","orig_lon","state","dest_lat","dest_lon","distance (mi)","drive time (hrs)"
"Ablon Park Pond, Garland, TX","Ablon Park Pond","Garland",2250,"date1","01/30/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.83709","-96.57484",18,0.42
"American Legion Park Pond, Missouri City, TX","American Legion Park Pond","Missouri City",3200,"date1","01/03/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.58652","-95.5534",277,4.31
"American Legion Park Pond, Missouri City, TX","American Legion Park Pond","Missouri City",3200,"date2","01/30/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.58652","-95.5534",277,4.31
"American Legion Park Pond, Missouri City, TX","American Legion Park Pond","Missouri City",3200,"date3","02/20/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.58652","-95.5534",277,4.31
"Amsler Park, McGregor, TX","Amsler Park","McGregor",1200,"date1","12/12/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.44368","-97.40874",127,2.14
"Amsler Park, McGregor, TX","Amsler Park","McGregor",1200,"date2","01/30/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.44368","-97.40874",127,2.14
"Ascarate, El Paso, TX","Ascarate","El Paso",6000,"date1","12/04/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.77927","-106.44677",639,9.26
"Ascarate, El Paso, TX","Ascarate","El Paso",6000,"date2","01/19/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.77927","-106.44677",639,9.26
"Ascarate, El Paso, TX","Ascarate","El Paso",6000,"date3","02/05/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.77927","-106.44677",639,9.26
"Ascarate, El Paso, TX","Ascarate","El Paso",6000,"date4","02/20/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.77927","-106.44677",639,9.26
"Bailey Lake, Burleson, TX","Bailey Lake","Burleson",1600,"date1","12/02/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.56313","-97.32166",50,0.93
"Bailey Lake, Burleson, TX","Bailey Lake","Burleson",1600,"date2","01/08/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.56313","-97.32166",50,0.93
"Bandera City Park Lake, Bandera, TX","Bandera City Park Lake","Bandera",578,"date1","12/17/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.78506","-99.14003",331,5.48
"Bane Park Lake, Houston, TX","Bane Park Lake","Houston",1071,"date1","01/17/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.87177","-95.54251",251,3.89
"Bates Allen Park 2, Rosenberg, TX","Bates Allen Park 2","Rosenberg",1000,"date1","01/03/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX",NA,NA,0,0
"Beal Park Lake, Midland, TX","Beal Park Lake","Midland",1500,"date1","12/18/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.96628","-102.14163",344,5.16
"Beal Park Lake, Midland, TX","Beal Park Lake","Midland",1500,"date2","01/07/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.96628","-102.14163",344,5.16
"Beal Park Lake, Midland, TX","Beal Park Lake","Midland",1500,"date3","02/26/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.96628","-102.14163",344,5.16
"Bear Creek Park, Keller, TX","Bear Creek Park","Keller",1750,"date1","12/18/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.9252","-97.24885",36,0.76
"Bear Creek Park, Keller, TX","Bear Creek Park","Keller",1750,"date2","01/25/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.9252","-97.24885",36,0.76
"Beaver Pond - Cypress Creek Park, Cypress, TX","Beaver Pond - Cypress Creek Park","Cypress",3500,"date1","01/14/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.95483","-95.63208",250,3.89
"Ben Gill Park Pond, Terrell, TX","Ben Gill Park Pond","Terrell",750,"date1","11/26/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.7408","-96.29008",37,0.71
"Bethany Park Pond C, Allen, TX","Bethany Park Pond C","Allen",3200,"date1","12/09/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","33.08541","-96.66917",17,0.42
"Blanco State Park #4, Blanco, TX","Blanco State Park #4","Blanco",4000,"date1","12/06/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.08902","-98.41736",256,4.24
"Blanco State Park #4, Blanco, TX","Blanco State Park #4","Blanco",4000,"date2","12/20/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.08902","-98.41736",256,4.24
"Blanco State Park #4, Blanco, TX","Blanco State Park #4","Blanco",4000,"date3","01/10/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.08902","-98.41736",256,4.24
"Blanco State Park #4, Blanco, TX","Blanco State Park #4","Blanco",4000,"date4","01/30/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.08902","-98.41736",256,4.24
"Blue Hole Park Lake, Georgetown, TX","Blue Hole Park Lake","Georgetown",1250,"date1","01/15/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.64285","-97.68158",180,2.88
"Blue Ridge Park Pond, Missouri City, TX","Blue Ridge Park Pond","Missouri City",700,"date1","01/02/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.60393","-95.52692",272,4.21
"Bluestem Pond, Somerville, TX","Bluestem Pond","Somerville",500,"date1","12/17/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.3432","-96.60635",205,3.63
"Bob Sandlin State Park, Mt. Pleasant, TX","Bob Sandlin State Park","Mt. Pleasant",2500,"date1","12/19/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","33.14949","-94.96141",121,1.91
"Bob Sandlin State Park, Mt. Pleasant, TX","Bob Sandlin State Park","Mt. Pleasant",2500,"date2","01/26/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","33.14949","-94.96141",121,1.91
"Bob Sandlin State Park, Mt. Pleasant, TX","Bob Sandlin State Park","Mt. Pleasant",2500,"date3","02/18/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","33.14949","-94.96141",121,1.91
"Boerne City, Boerne, TX","Boerne City","Boerne",1000,"date1","12/04/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.7048","-98.6836",298,4.78
"Borden City Lake, Borden, TX","Borden City Lake","Borden",500,"date1","01/10/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.68969","-96.69175",251,4.42
"Bradfield Pond 2, Buda, TX","Bradfield Pond 2","Buda",1000,"date1","12/20/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.0871622","-97.8325866",221,3.53
"Breshears Lake, Levelland, TX","Breshears Lake","Levelland",1600,"date1","12/03/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","33.58733","-102.37855",383,5.88
"Bridge Bob's Pond, Wood, TX","Bridge Bob's Pond","Wood",1250,"date1","02/09/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX",NA,NA,0,0
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date1","11/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date2","12/13/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date3","12/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date4","01/10/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date5","01/24/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date6","02/07/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date7","02/21/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buena Vista Park Lake*, Waco, TX","Buena Vista Park Lake*","Waco",896,"date8","03/06/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","31.57203","-97.07502",106,1.78
"Buescher State Park, Smithville, TX","Buescher State Park","Smithville",2000,"date1","12/13/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.00868","-97.16005",246,3.87
"Buescher State Park, Smithville, TX","Buescher State Park","Smithville",2000,"date2","01/02/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.00868","-97.16005",246,3.87
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date1","11/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date2","12/13/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date3","12/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date4","01/10/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date5","01/24/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date6","02/07/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date7","02/21/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Bullfrog Pond*, Austin, TX","Bullfrog Pond*","Austin",896,"date8","03/06/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.26759","-97.74299",207,3.32
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date1","11/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date2","12/13/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date3","12/27/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date4","01/10/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date5","01/24/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date6","02/07/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date7","02/21/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burke-Crenshaw Lake*, Pasadena, TX","Burke-Crenshaw Lake*","Pasadena",2400,"date8","03/06/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","29.63765","-95.15609",273,4.22
"Burroughs Park, Tomball, TX","Burroughs Park","Tomball",1431,"date1","01/17/20","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","30.08686","-95.6329",242,3.7
"Cal Young Park Lake, Abilene, TX","Cal Young Park Lake","Abilene",2876,"date1","12/11/19","5881 preston view blvd dallas tx 75240",32.93538,-96.80598,"TX","32.44022","-99.71423",187,2.9
