STOCKING LOCATION,CITY,TOTAL,date1,date2,date3,date4,date5,date6,date7,date8,date9
Ablon Park Pond,Garland,2250,01/30/20,,,,,,,,
American Legion Park Pond,Missouri City,3200,01/03/20,01/30/20,02/20/20,,,,,,
Amsler Park,McGregor,1200,12/12/19,01/30/20,,,,,,,
Ascarate,El Paso,6000,12/04/19,01/19/20,02/05/20,02/20/20,,,,,
Bailey Lake,Burleson,1600,12/02/19,01/08/20,,,,,,,
Bandera City Park Lake,Bandera,578,12/17/19,,,,,,,,
Bane Park Lake,Houston,1071,01/17/20,,,,,,,,
Bates Allen Park 2,Rosenberg,1000,01/03/20,,,,,,,,
Beal Park Lake,Midland,1500,12/18/19,01/07/20,02/26/20,,,,,,
Bear Creek Park,Keller,1750,12/18/19,01/25/20,,,,,,,
Beaver Pond - Cypress Creek Park,Cypress,3500,01/14/20,,,,,,,,
Ben Gill Park Pond,Terrell,750,11/26/19,,,,,,,,
Bethany Park Pond C,Allen,3200,12/09/19,,,,,,,,
Blanco State Park #4,Blanco,4000,12/06/19,12/20/19,01/10/20,01/30/20,,,,,
Blue Hole Park Lake,Georgetown,1250,01/15/20,,,,,,,,
Blue Ridge Park Pond,Missouri City,700,01/02/20,,,,,,,,
Bluestem Pond,Somerville,500,12/17/19,,,,,,,,
Bob Sandlin State Park,Mt. Pleasant,2500,12/19/19,01/26/20,02/18/20,,,,,,
Boerne City,Boerne,1000,12/04/19,,,,,,,,
Borden City Lake,Borden,500,01/10/20,,,,,,,,
Bradfield Pond 2,Buda,1000,12/20/19,,,,,,,,
Breshears Lake,Levelland,1600,12/03/19,,,,,,,,
Bridge Bob's Pond,Wood,1250,02/09/20,,,,,,,,
Buena Vista Park Lake*,Waco,896,11/27/19,12/13/19,12/27/19,01/10/20,01/24/20,02/07/20,02/21/20,03/06/20,
Buescher State Park,Smithville,2000,12/13/19,01/02/20,,,,,,,
Bullfrog Pond*,Austin,896,11/27/19,12/13/19,12/27/19,01/10/20,01/24/20,02/07/20,02/21/20,03/06/20,
Burke-Crenshaw Lake*,Pasadena,2400,11/27/19,12/13/19,12/27/19,01/10/20,01/24/20,02/07/20,02/21/20,03/06/20,
Burroughs Park,Tomball,1431,01/17/20,,,,,,,,
C. J. Kelly Park Pond,Midland,1500,12/18/19,01/07/20,02/26/20,,,,,,
Cal Young Park Lake,Abilene,2876,12/11/19,01/12/20,02/04/20,,,,,,
Camp Mabry,Austin,2000,01/19/20,,,,,,,,
Canyon Southeast Park Lake,Canyon,1666,12/12/19,01/15/20,,,,,,,
Canyon Tailrace (Guadalupe River),New Braunfels,20498,12/06/19,12/13/19,12/20/19,12/27/19,01/03/20,01/10/20,01/17/20,01/24/20,01/31/20
Carl Barton Jr. Park Pond,Conroe,2500,01/02/20,02/06/20,,,,,,,
Carl Levin City Park Pond,Harker Heights,350,12/18/19,,,,,,,,
Caruth Park,University Park,1000,12/03/19,01/22/20,,,,,,,
Carver Park Lake,Texas City,500,01/28/20,,,,,,,,
Caudle,Hale Center,1200,12/08/19,,,,,,,,
Cedar Hill State Park Perch Pond,Cedar Hill,1250,01/15/20,02/04/20,,,,,,,
Centennial Park Pond,Pearland,1650,01/22/20,,,,,,,,
Central Park Pond #1*,College Station,1792,11/27/19,12/12/19,12/27/19,01/10/20,01/24/20,02/07/20,02/21/20,03/06/20,
Chandler Park,Mansfield,400,12/04/19,,,,,,,,
